ID;Name;Address;Nationality;Dob;MemberSince
563;Theo;Gothams vej 12;French;30.06.2000;01.02.2021
132;Craig;Gotham st 59;Jamaican;25.09.1981;02.02.2022
531;Francesco;Arkham av 3;Congolese;09.02.1999;03.02.2022
642;Courtney;Crime alley 8;Indian;29.04.2001;12.03.2021
126;Amelia;Arkham av 59;American;04.01.2001;05.10.2021
759;Lilly;Crime alley 81;Mexican;09.09.1999;06.02.2021
249;Alesha;Galavan Tower 1;Mexican;15.03.1975;17.08.2020
567;Peter;Galavan Tower 2;Hungarian;16.07.1978;08.09.2021
143;Frank;Galavan Tower 3;Swedish;10.10.1949;19.12.2021
189;Maria;Galavan Tower 4;Danish;21.06.1989;11.02.2021
977;Jasmin;Galavan Tower 5;Moroccan;26.08.1996;18.12.2021
555;Claudia;Galavan Tower 6;Italian;30.05.1984;22.02.2018
346;Janina;Galavan Tower 7;German;04.02.1948;13.02.2021
754;Eddie;Arkham st 4;American;05.07.1998;14.03.2021
235;Aysha;Gotham st 42;Danish;08.12.1959;15.02.2019
467;Abraham;The Sirens st 2;Congolese;01.02.1985;18.08.2021
169;Conor;Mooney av 4;Irish;12.05.1977;17.02.2021
467;Karim;Mooney av 5;French;09.11.1984;28.05.2021
125;Kendrick;Mooney av 6;American;16.12.1949;12.02.2020
155;Louis;Mooney av 7;Chinese;19.10.1998;20.03.2019
